nom,classe,x,y
aborigene_1.jpg,6,-20.32819,2.0737717
accardi_1.jpg,10,-29.47977,4.855455
accardi_2.jpg,5,1.2303127,26.51667
af-klint_1.jpg,6,2.0674982,15.358493
af-klint_10.jpg,10,-0.84375083,3.634858
af-klint_11.jpg,3,28.42346,-11.479295
af-klint_12.jpg,8,13.343023,0.5745175
af-klint_13.jpg,7,5.9274416,-14.671565
af-klint_2.jpg,10,-5.225459,-5.932364
af-klint_3.jpg,10,-3.7006583,-17.160337
af-klint_4.jpg,10,-4.34575,-6.7295356
af-klint_5.jpg,10,-7.388822,-4.357308
af-klint_6.jpg,2,-11.736386,-1.5776956
af-klint_8.jpg,6,0.9936253,16.09984
af-klint_9.jpg,7,12.295248,-0.9045564
afif_1.jpg,6,-2.3126929,24.465277
afnan_2.jpg,2,-16.526787,-2.6037295
afro_1.jpg,10,-0.7131048,1.4984884
afro_2.jpg,6,-9.12104,17.004612
afro_3.jpg,2,8.504136,11.736817
afro_4.jpg,2,14.3668375,11.159181
afro_5.jpg,2,8.078729,10.5803795
afro_6.jpg,2,9.530778,11.687803
afro_7.jpg,11,24.618849,-18.168009
al-azzawi_1.jpg,10,-0.20006143,-16.50203
albers_1.jpg,13,18.282946,9.741273
albers_10.jpg,5,0.53182495,28.10188
albers_11.jpg,7,11.836256,-7.73177
albers_12.jpg,0,15.176777,23.351728
albers_13.jpg,12,27.78471,-18.048994
albers_14.jpg,1,21.236866,-3.7086473
albers_15.jpg,5,-0.9957088,27.89636
albers_16.jpg,14,-11.336528,32.008385
albers_17.jpg,0,-0.57637155,12.328481
albers_2.jpg,2,-13.290223,16.416258
albers_3.jpg,3,36.558334,-11.162927
albers_4.jpg,2,17.319336,9.772513
albers_5.jpg,13,25.585386,10.2019615
albers_6.jpg,13,25.781527,9.669752
albers_7.jpg,13,26.079163,5.29638
albers_8.jpg,3,36.47618,-11.167814
albers_9.jpg,3,36.469097,-11.170172
albert-birot_1.jpg,4,-23.091417,-9.381785
alechinsky_1.jpg,4,-23.096811,-4.554914
alechinsky_2.jpg,4,-30.782993,-0.9195682
alechinsky_3.jpg,10,-5.256719,-3.8616533
alechinsky_4.jpg,10,-3.0547287,-12.571626
allard_1.jpg,4,-29.062029,-5.0419507
andre_1.jpg,13,23.360462,9.305263
angkasapura_1.jpg,4,-25.551445,-4.8723307
angkasapura_2.jpg,4,-18.742271,-7.116953
angkasapura_3.jpg,4,-25.952078,-5.506868
appel_11.jpg,11,8.836712,-15.202211
appel_2.jpg,11,18.390728,-11.478064
appel_3.jpg,7,9.172878,-10.477557
appel_4.jpg,6,-11.898078,8.364493
appel_5.jpg,4,-12.251443,-9.016115
appel_6.jpg,10,-5.3404126,-9.716428
